Model_ID,L11,L21,L12,L22,Sigma 11,Sigma 21,Sigma 12,Sigma 21,Alpha 11,Alpha 21,Alpha 12,Alpha 22,base intensity 1,base intensity 1,beta_1,beta_2,beta_3
ee85632b0e,1.16240108,0.527472615,0.80269289,2.056719303,1,1,1,,,,,,,,,,
22d10d46e6,0.137218595,0.37605527,0.056020588,0.580891907,1,1,1,,,,,,,,,,
e178245fcf,1.917973876,0.743053913,0.198365703,2.056719303,1,1,1,,,,,,,,,,
f7403be966,0.665769458,0.366309613,0.088274054,0.580891907,1,1,1,,,,,,,,,,
dfbce34f80,1.917973876,0.743053913,0.198365703,2.056719303,1,1,1,,,,,,,,,,
ea5d45e396,0.665769458,0.366309613,0.088274054,0.580891907,1,1,1,,,,,,,,,,
c7697c4fa9,1.16240108,0.527472615,0.80269289,2.056719303,1,1,1,,,,,,,,,,
dd7c57ed92,0.137218595,0.37605527,0.056020588,0.580891907,1,1,1,,,,,,,,,,
53b433a322,1.189701557,0.491614431,0.443950266,2.056719303,1,5,1,,,,,,,,,,
38f581f945,0.137250125,0.377846122,8.43E-07,0.580891907,1,5,1,,,,,,,,,,
487f0afa95,1.910942674,0.729545116,0.001419936,2.056719303,1,5,1,,,,,,,,,,
f7959fcd37,0.664839745,0.36498642,8.46E-07,0.580891907,1,5,1,,,,,,,,,,
8ce363562b,1.910942674,0.729545116,0.001419936,2.056719303,1,5,1,,,,,,,,,,
f2703c8081,0.664839745,0.36498642,8.46E-07,0.580891907,1,5,1,,,,,,,,,,
05a38135a9,1.189701557,0.491614431,0.443950266,2.056719303,1,5,1,,,,,,,,,,
c436097c36,0.137250125,0.377846122,8.43E-07,0.580891907,1,5,1,,,,,,,,,,
88c4f4ab43,1.16240108,0.527472615,0.80269289,1.919912696,1,1,5,,,,,,,,,,
de1e00e7ad,0.137218595,0.37605527,0.056020588,0.052952535,1,1,5,,,,,,,,,,
516b29652c,1.16240108,0.527472615,0.80269289,1.919912696,1,1,5,,,,,,,,,,
d97ab5a2e0,0.137218595,0.37605527,0.056020588,0.052952535,1,1,5,,,,,,,,,,
f95ed4d6af,1.917973876,0.743053913,0.198365703,1.919912696,1,1,5,,,,,,,,,,
f5929176a7,0.665769458,0.366309613,0.088274054,0.052952535,1,1,5,,,,,,,,,,
ca61d4dee7,1.917973876,0.743053913,0.198365703,1.919912696,1,1,5,,,,,,,,,,
06b7e1636d,0.665769458,0.366309613,0.088274054,0.052952535,1,1,5,,,,,,,,,,
e88173e120,1.16240108,0.527472615,0.80269289,1.919912696,1,1,5,,,,,,,,,,
68b1837398,0.137218595,0.37605527,0.056020588,0.052952535,1,1,5,,,,,,,,,,
0c32ff415e,1.158194304,0.6057266,0.802589059,1.919912696,1,1,5,,,,,,,,,,
21ce53a140,0.137274519,0.382594466,0.055699669,0.052952535,1,1,5,,,,,,,,,,
87cf79690a,1.91785419,0.743095934,0.19831799,1.919912696,1,1,5,,,,,,,,,,
afb7fc840b,0.66577369,0.366260499,0.088293143,0.052952535,1,1,5,,,,,,,,,,
