Model_ID,L11,L21,L12,L22,Sigma 11,Sigma 21,Sigma 12,Sigma 21,s 11,s12,s21,s22,beta_1,beta_2,beta_3
04571a21fa,0.790386379,0.617102027,0.746683836,0.58112365,0.025492089,0.034471739,0.016812684,0.022806548,2.238325357,3.10799408,1.735955715,2.5055089,0.7,0.5,1
834ec18dc9,0.83577925,0.63830328,0.792717695,0.603369594,0.024089824,0.033012327,0.015703171,0.021588108,2.101472139,3.040436745,1.585049033,2.417563915,0.7,0.6,1
5ba066a835,0.70979315,0.579599857,0.670098305,0.545860589,0.028581487,0.038225055,0.01912548,0.025662798,2.477012157,3.281513214,1.99410522,2.710514545,0.7,0.4,1
10e699dc12,0.655684829,0.948322535,0.435399204,0.650212169,0.031695362,0.023099827,0.038927592,0.028428314,2.280340672,2.602891684,2.76411581,3.116529226,0.7,0.5,1
fc6a7abbf5,0.677277207,0.970835268,0.442967266,0.656341493,0.030846795,0.022887232,0.038422868,0.028566029,2.196574211,2.531554937,2.712129593,3.076365948,0.7,0.6,1
37bb4774b3,0.616959751,0.905488849,0.419782847,0.634868741,0.033838779,0.023957325,0.040788561,0.028938439,2.437056065,2.747349501,2.878293753,3.217026472,0.7,0.4,1
b39f9c0f6e,0.755947828,0.588318229,0.714593112,0.554433465,0.027671387,0.038381446,0.018128816,0.025241351,2.331135035,3.219946384,1.819301844,2.610998631,0.7,0.5,1
153b48db84,0.797946453,0.607555807,0.757772505,0.575124741,0.026187757,0.036793467,0.01693131,0.02388018,2.196122408,3.154714108,1.668572783,2.524830103,0.7,0.6,1
b7a9461e2b,0.682020962,0.55446136,0.643293858,0.521713734,0.030979188,0.042357277,0.020622024,0.028307227,2.565849066,3.385658264,2.074974537,2.808640957,0.7,0.4,1
6e1382e5db,0.577582717,0.296334565,0.531026125,0.270295948,0.040167272,0.06298317,0.025076326,0.039674561,2.618908405,2.827162981,1.944521666,2.123229504,0.7,0.5,1
ea70bef999,0.586978912,0.30117777,0.535753012,0.272504717,0.038389716,0.060069174,0.023563314,0.037193827,2.453673124,2.709677696,1.75492239,1.973716974,0.7,0.6,1
c7fef5468c,0.553557694,0.28977865,0.515717447,0.268275261,0.044000193,0.069418073,0.028030053,0.044653255,2.880528927,3.044726849,2.248091936,2.391072273,0.7,0.4,1
7a08fdb356,0.37416032,0.252019525,0.262137622,0.174321324,0.041160583,0.060659982,0.014860899,0.022189433,2.505764961,2.976290226,1.742467284,2.133512974,0.7,0.5,1
7d12e2410c,0.389904469,0.497225791,0.231686786,0.299891412,0.073429242,0.04474828,0.059235279,0.035883673,2.243478298,2.503361702,2.790794373,3.07420826,0.7,0.6,1
e77156ba3b,0.423984379,0.295437843,0.57017684,0.405658484,0.238688961,0.380361229,0.252095491,0.397569627,1.02569747,1.121218204,0.402292907,0.452752888,1,1,1
b8b1f35631,0.578246295,0.403131753,0.315942883,0.211581156,0.148053646,0.2354808,0.054292042,0.092354007,2.087563753,2.4043715,1.425268769,1.70531249,1,1,1
2a19e9b853,0.579650223,0.404746801,0.316782117,0.212490693,0.147831246,0.235306844,0.054164603,0.092212744,2.087714672,2.404691935,1.426175594,1.706436515,1,1,1
e0120be7e3,0.640149236,0.591093242,0.543400526,0.500023842,0.0494655,0.090391889,0.017631005,0.033136621,2.893737078,3.78053236,2.611288309,3.48677063,1,1,1
eba0893fb2,0.571892381,0.403247893,0.300323993,0.203332961,0.221996635,0.351827472,0.082681268,0.146363869,2.006597281,2.360443592,1.326807261,1.634544492,1,1,1
d34073a286,0.636431456,0.552886367,0.49516052,0.426366299,0.205369607,0.396705568,0.035528887,0.085694291,2.499711275,3.337269306,2.96865201,3.82502532,1,1,1
3d02e33966,0.558910668,0.401827395,0.279762864,0.193275556,0.322750926,0.495584071,0.142784104,0.255619526,1.938615203,2.339463234,1.20968461,1.549128771,1,1,1
f89b7bc498,0.633865952,0.552942455,0.425730258,0.36660707,0.279037207,0.499916911,0.072366908,0.167705446,2.706813574,3.336892843,3.400875568,4.047548771,1,1,1
9f89474431,0.369098783,0.293717146,0.182729527,0.142647341,0.441676915,0.293046862,0.322267383,0.199464574,1.577089787,2.2840271,2.175333738,2.939985991,1,1,1
867910be6e,0.520704269,0.618064761,0.315080374,0.380951345,0.498251379,0.49808535,0.290272266,0.290135533,2.60862565,3.408279896,4.409340858,5.244874954,1,1,1
debd513b44,0.440273345,0.327105641,0.187216744,0.134558171,0.499997139,0.499993861,0.499998629,0.499995351,1.896958709,2.534603119,0.683322728,1.101737738,1,1,1
c65063ce4b,0.583038032,0.579916894,0.213237554,0.2118821,0.50001657,0.500019073,0.499996424,0.499998927,2.921352386,3.313946724,2.237696648,2.61198926,1,1,1
ef70351152,0.386420697,0.261455566,0.123765588,0.080161996,0.500007808,0.500003099,0.500019073,0.500014365,1.18048346,1.995630026,1.175781369,1.989763021,1,1,1
9aee73cd24,0.59153825,0.646002173,0.20071736,0.223258063,0.500011086,0.499976277,0.500018179,0.499983311,2.75115037,2.951656103,3.645394802,3.853198767,1,1,1
e34ac11dfd,1.013473868,1.011597753,0.637744308,0.636435151,0.644226909,0.693473339,0.422206104,0.45815748,1.416691303,2.353082418,0.295764565,0.717215955,0.6,1,1
f2218cd232,0.854852855,0.875578761,0.373914272,0.384326965,0.608705878,0.693963587,0.223397195,0.261731327,1.877265811,2.587628365,1.2748667,1.906265259,0.6,1,1
